sample_path,seed,sample_id,final_nu12,final_nu21,final_VF,final_obj,n_iter,converged_flag,void_flag,nu_valid_flag,volfrac,penal,rmin,move,void_size_frac,rotation_deg,mu
../outputs/pipeline/phase1/circle/auxetic/sample_0000,circle,sample_0000,0.271527,0.271527,0.493013,0.18262,149,False,False,True,0.4930139193525872,4.008149541366393,3.8569003466814364,0.14418859975783865,0.1990582265211235,48.07313294508973,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0001,circle,sample_0001,0.3,0.3,0.253185,-0.350459,45,True,False,True,0.25318480397346194,2.495191425963073,1.1453143945540756,0.06291345051753694,0.3562920197576742,18.219705033454193,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0002,circle,sample_0002,0.30101,0.300002,0.588082,-0.776576,149,False,False,True,0.5880817983989245,2.756965118230556,2.2594309668621113,0.23977301065179352,0.30445415212984167,44.80854823168748,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0003,circle,sample_0003,0.309823,0.309823,0.505632,-0.474882,149,False,False,True,0.5056315843734323,1.7157780801170581,5.206985376652438,0.2720456169322511,0.290293019756051,39.320636636033406,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0004,circle,sample_0004,0.299999,0.299999,0.359621,-0.080289,112,True,False,True,0.35962155337234986,3.7740481722864043,4.755546499378827,0.2829683019517731,0.27845710507932453,12.950853140272637,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0005,circle,sample_0005,0.3,0.3,0.453402,-0.510228,32,True,False,True,0.4534031712545624,4.070998702342106,2.612362440310308,0.08857950244970943,0.39530444188724195,68.43158592274713,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0006,circle,sample_0006,0.29964,0.29964,0.474935,-0.194067,27,True,False,True,0.4749343799288604,4.936572676503209,5.128848441824852,0.26108488337764574,0.3156284808112767,84.50196541182649,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0007,circle,sample_0007,0.358618,0.368639,0.613997,0.622169,149,False,False,True,0.6139964653066368,3.625017781149061,4.527956699767467,0.13496029702086,0.44612521620969836,65.13501568820926,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0008,circle,sample_0008,0.392403,0.396257,0.627566,0.654627,149,False,False,True,0.6275667266136671,3.5146996688520917,3.300015299587482,0.19160531441874162,0.1621307562249786,52.005447430223896,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0009,circle,sample_0009,0.29976,0.29976,0.400597,-0.047638,45,True,False,True,0.4005977949516489,4.629236129197071,4.923514037410277,0.1702604900337259,0.25860203001872345,11.656409779392078,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0010,circle,sample_0010,0.265169,0.26517,0.641087,-0.097952,131,True,False,True,0.6410879605094604,3.2038538391809155,5.405793982253136,0.06862500952153312,0.2136528167999941,37.33926179802601,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0011,circle,sample_0011,0.3,0.3,0.309211,-0.226091,51,True,False,True,0.3092105711900612,4.559473320258318,2.494863694238677,0.16302735508973032,0.3778541532718047,79.77441406882609,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0012,circle,sample_0012,0.301792,0.301792,0.385287,-0.314464,149,False,False,True,0.3852879590230911,1.9021414018846214,5.990282876385156,0.2309884675664834,0.34706406242233323,73.01425045581932,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0013,circle,sample_0013,0.380354,0.380354,0.542551,0.327156,149,False,False,True,0.5625729046354496,1.962146905452478,1.5559477432787687,0.2966134428213328,0.40185979615333967,62.49908124027689,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0014,circle,sample_0014,0.32946,0.334539,0.343031,0.056666,149,False,False,True,0.3430305056915485,1.2546602852299145,4.0462734415672585,0.05448435641457178,0.228387282209664,46.49686567468991,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0015,circle,sample_0015,0.336413,0.299469,0.274636,0.437952,120,True,False,True,0.27463583863049107,2.9071572833229684,5.592307287404329,0.15515815644919598,0.18698487910852124,58.10915222064334,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0016,circle,sample_0016,0.310759,0.311717,0.551843,-0.621806,149,False,False,True,0.5518424985259549,2.1883133440911866,2.980332349646581,0.1753175194620874,0.26091419309292396,6.900878598567751,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0017,circle,sample_0017,0.299999,0.299999,0.433122,-0.395616,44,True,False,True,0.4331217338472064,3.8041098163536367,3.3702081826723678,0.07735924842367504,0.24550638497856211,2.183275314464523,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0018,circle,sample_0018,0.3,0.3,0.302048,-0.300602,26,True,False,True,0.30204812050462004,4.212986347127488,1.7573706183610647,0.22331363862670645,0.2869404337584935,82.26234129317432,0.2
../outputs/pipeline/phase1/circle/auxetic/sample_0019,circle,sample_0019,0.3,0.3,0.447643,-0.612739,149,False,False,True,0.44764302956081026,2.21911809545435,2.040246745027465,0.19400447536707555,0.17567906960224897,55.118073477892665,0.2
